{'type': 'down', 'input': 'g', 'position': (1431, 694), 'timestamp': 1697519537.163836}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519537.271255}
{'type': 'down', 'input': 'g', 'position': (1431, 694), 'timestamp': 1697519537.3952858}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519537.4923105}
{'type': 'down', 'input': 'g', 'position': (1431, 694), 'timestamp': 1697519537.6053464}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519537.7123632}
{'type': 'down', 'input': 'g', 'position': (1431, 694), 'timestamp': 1697519537.8203926}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519537.9329221}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519538.0134451}
{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519538.1960652}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519538.3460832}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519538.4048681}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519538.9118688}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519538.9418752}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519538.9722626}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519539.017892}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519539.0488997}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519539.0799062}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519539.1099136}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519539.1409206}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519539.1729274}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519539.2049344}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519539.2359416}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519539.281952}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519539.3079584}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519539.4053888}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519539.5392551}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519539.733305}
{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519539.8303301}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519539.8513343}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519539.8573382}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519539.9753668}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519539.9913704}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519540.0453832}
{'type': 'down', 'input': 'g', 'position': (1431, 694), 'timestamp': 1697519540.056385}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519540.174603}
{'type': 'down', 'input': 'g', 'position': (1431, 694), 'timestamp': 1697519540.255627}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519540.3416553}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519540.3990245}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519540.4368498}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519540.8517559}
{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519541.259867}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519541.3989043}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519541.430912}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519541.8990002}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519542.0550375}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519542.2749527}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519542.4360292}
{'type': 'down', 'input': 'e', 'position': (1431, 694), 'timestamp': 1697519542.5388117}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519542.7102387}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519542.711239}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519542.8982885}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519543.2697573}
{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519543.6725702}
{'type': 'down', 'input': 'e', 'position': (1431, 694), 'timestamp': 1697519543.6945746}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519543.7535875}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519543.7965972}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519543.866619}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519543.9889708}
{'type': 'down', 'input': 'e', 'position': (1431, 694), 'timestamp': 1697519543.9899726}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519544.0545862}
