{'type': 'down', 'input': 'd', 'position': Point(x=1284, y=657), 'timestamp': 1697519278.9712842}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519279.1383028}
{'type': 'down', 'input': 'f', 'position': Point(x=1284, y=657), 'timestamp': 1697519279.17631}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519279.5904129}
{'type': 'down', 'input': 'd', 'position': Point(x=1284, y=657), 'timestamp': 1697519279.7244453}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519279.826472}
{'type': 'down', 'input': 'd', 'position': Point(x=1284, y=657), 'timestamp': 1697519280.1006134}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519280.3586347}
{'type': 'down', 'input': 'r', 'position': Point(x=1284, y=657), 'timestamp': 1697519280.8539414}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519281.0308855}
{'type': 'down', 'input': 'space', 'position': Point(x=1284, y=657), 'timestamp': 1697519281.31595}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519281.444979}
{'type': 'down', 'input': 'f', 'position': Point(x=1284, y=657), 'timestamp': 1697519281.6760306}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519281.8260646}
{'type': 'down', 'input': 'd', 'position': Point(x=1284, y=657), 'timestamp': 1697519282.0521152}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519282.2991707}
{'type': 'down', 'input': 'f', 'position': Point(x=1284, y=657), 'timestamp': 1697519282.3371801}
{'type': 'down', 'input': 'd', 'position': Point(x=1284, y=657), 'timestamp': 1697519282.5572293}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519282.5792348}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519282.8192885}
{'type': 'down', 'input': 'f', 'position': Point(x=1284, y=657), 'timestamp': 1697519282.884303}
{'type': 'down', 'input': 'd', 'position': Point(x=1284, y=657), 'timestamp': 1697519283.0293353}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519283.0453393}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519283.169367}
{'type': 'down', 'input': 'f', 'position': Point(x=1284, y=657), 'timestamp': 1697519283.217378}
{'type': 'down', 'input': 'space', 'position': Point(x=1284, y=657), 'timestamp': 1697519283.3364053}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519283.3784146}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519283.465434}
{'type': 'down', 'input': 'd', 'position': Point(x=1284, y=657), 'timestamp': 1697519283.5024421}
{'type': 'up', 'input': None, 'position': Point(x=1284, y=657), 'timestamp': 1697519283.5984645}
{'type': 'down', 'input': '3', 'position': Point(x=878, y=626), 'timestamp': 1697519286.8620167}
{'type': 'up', 'input': None, 'position': Point(x=878, y=624), 'timestamp': 1697519286.9585078}
